Year,Length,CPI Annual Rate %,CPI Index
1996 DEC,8,2.3,69.5
1997 JAN,8,2.1,69.2
1997 FEB,8,1.9,69.4
1997 MAR,8,1.7,69.5
1997 APR,8,1.6,69.8
1997 MAY,8,1.6,70
1997 JUN,8,1.7,70.2
1997 JUL,8,2,69.9
1997 AUG,8,2,70.3
1997 SEP,8,1.8,70.6
1997 OCT,8,1.9,70.6
1997 NOV,8,1.9,70.6
1997 DEC,8,1.7,70.7
1998 JAN,8,1.5,70.3
1998 FEB,8,1.6,70.5
1998 MAR,8,1.7,70.7
1998 APR,8,1.8,71.1
1998 MAY,8,2,71.4
1998 JUN,8,1.7,71.3
1998 JUL,8,1.4,71
1998 AUG,8,1.3,71.2
1998 SEP,8,1.4,71.5
1998 OCT,8,1.4,71.5
1998 NOV,8,1.4,71.6
1998 DEC,8,1.6,71.8
1999 JAN,8,1.6,71.4
1999 FEB,8,1.4,71.5
1999 MAR,8,1.7,71.9
1999 APR,8,1.5,72.2
1999 MAY,8,1.3,72.4
1999 JUN,8,1.3,72.3
1999 JUL,8,1.3,71.9
1999 AUG,8,1.2,72.1
1999 SEP,8,1.2,72.4
1999 OCT,8,1.1,72.3
1999 NOV,8,1.2,72.4
1999 DEC,8,1.1,72.6
2000 JAN,8,0.8,71.9
2000 FEB,8,0.9,72.2
2000 MAR,8,0.6,72.3
2000 APR,8,0.6,72.6
2000 MAY,8,0.5,72.8
2000 JUN,8,0.8,72.9
2000 JUL,8,0.9,72.5
2000 AUG,8,0.6,72.5
2000 SEP,8,1,73.1
2000 OCT,8,1,73.1
2000 NOV,8,1.1,73.2
2000 DEC,8,0.8,73.2
2001 JAN,8,0.9,72.6
2001 FEB,8,0.8,72.7
2001 MAR,8,0.9,73
2001 APR,8,1.2,73.4
2001 MAY,8,1.7,74
2001 JUN,8,1.7,74.1
2001 JUL,8,1.4,73.6
2001 AUG,8,1.8,73.9
2001 SEP,8,1.3,74.1
2001 OCT,8,1.2,73.9
2001 NOV,8,0.8,73.8
2001 DEC,8,1.1,74
2002 JAN,8,1.6,73.7
2002 FEB,8,1.5,73.8
2002 MAR,8,1.5,74.1
2002 APR,8,1.4,74.4
2002 MAY,8,0.8,74.6
2002 JUN,8,0.6,74.6
2002 JUL,8,1.1,74.4
2002 AUG,8,1,74.6
2002 SEP,8,1,74.8
2002 OCT,8,1.4,74.9
2002 NOV,8,1.5,74.9
2002 DEC,8,1.7,75.2
2003 JAN,8,1.3,74.7
2003 FEB,8,1.6,75
2003 MAR,8,1.5,75.3
2003 APR,8,1.4,75.5
2003 MAY,8,1.3,75.5
2003 JUN,8,1.1,75.4
2003 JUL,8,1.3,75.3
2003 AUG,8,1.4,75.6
2003 SEP,8,1.4,75.9
2003 OCT,8,1.4,76
2003 NOV,8,1.3,75.9
2003 DEC,8,1.3,76.2
2004 JAN,8,1.4,75.8
2004 FEB,8,1.3,76
2004 MAR,8,1.1,76.1
2004 APR,8,1.1,76.4
2004 MAY,8,1.5,76.6
2004 JUN,8,1.6,76.6
2004 JUL,8,1.4,76.4
